Poem Name,Poet,Year,Line,Metaphore present or not,Count of the metaphores,Metaphorical Terms,Target Domain,Source Domain
අනුත්තර පූජා,කරුණාරත්න අබේසේකර​,1970,ගලතොත් දියත දස දිග දිය ගොඩ මදිය​,No,0,,,
දෝතට ගත් සතුට​,කරුණාරත්න අබේසේකර​,1970,අගේ ලස්සන ලොවත පෙන්වූ යුගල ජීවන කසුන් සෑයේ,No,0,,,
දෝතට ගත් සතුට​,කරුණාරත්න අබේසේකර​,1970,ඔවේ නෙත් මිණි පහන් දැල්වුණු පසුය මගෙ පැල පහන් වූයේ,Yes,1,නෙත් මිණි පහන්,Eyes,Gem lamp
පැතුම් පැස පිරේවා,කරුණාරත්න අබේසේකර​,1979,සැකෙන් සැලෙනා ලය සිතාරෙන්,Yes,1,ලය සිතාරෙන්,Heart,Sitar
පැතුම් පැස පිරේවා,කරුණාරත්න අබේසේකර​,1979,සහන් සත්සර රැව් නැගේවා,No,0,,,
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,දවස් පති සඳ ළඳුට ඉඩදී ඉවත්වන වරුවේ,Yes,1,සඳ ළඳුට,Moon,Lady
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,සිතක් සිතකින් වැළඳ ගත් හැටි මතක් කළ යුතුවේ,No,0,,,
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,මරණ සිඳුගේ වෙරළ දක්වා එකට හමු නොවෙනා,No,0,,,
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,සරල සම අන්තරවූ ගංගා දෙකකි අප දෙදෙනා,Yes,1,ගංගා දෙකකි අප,Us,Two rivers
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,යතත් ජීවන වනන්තරයේ සුගීතය සැලවී,Yes,1,ජීවන වනන්තරයේ,Life,Forest
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,වතක් මැලවෙයි මලක් විලසට මදක් පෙති ගැලවී,No,0,,,
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,අදත් මතුවත් ගිමන් නිවුමට වකුටු වී ඇලවී,No,0,,,
සමාන්තර ගංගා දෙකක්,කරුණාරත්න අබේසේකර​,1970,මටත් ඔබෙ හද මැණික් කුටියේ කොණක් දෙනු මැනවී,Yes,1,හද මැණික් කුටියේ,Hear,Chamber of gems
කල්පනා,කරුණාරත්න අබේසේකර​,1980,මහජනයාය හැම ජාතික රුකෙක පොතු,No,0,,,
කල්පනා,කරුණාරත්න අබේසේකර​,1980,ගත් කරු පහන් කණුවකි දිනු රටම සතු,Yes,1,ගත් කරු පහන් කණුවකි,The writer,Lamp post
කල්පනා,කරුණාරත්න අබේසේකර​,1980,අද බැරි නම් හදාගන්නට දිනෙක මතු,No,0,,,
කල්පනා,කරුණාරත්න අබේසේකර​,1980,පොදු ජනතාව වෙනුවෙනි අප ලිවිය යුතු,No,0,,,
අරුමැසි සුවඳ​,කරුණාරත්න අබේසේකර​,1952,තමනට තමන් මිස කිසිවෙකු බව කතර​,Yes,1,බව කතර​,Life,Desert
අරුමැසි සුවඳ​,කරුණාරත්න අබේසේකර​,1952,නැති බව මතක් කරදෙන විලසට නිතර​,No,0,,,
ගීත රචකයාණනි,කරුණාරත්න අබේසේකර​,1982,වරින් වර පද පන්ති කොපමණක් ලිව්වාද​,No,0,,,
ගීත රචකයාණනි,කරුණාරත්න අබේසේකර​,1982,සවන් රන් බඳුන් තුළ කොතෙක් රස ලැව්වාද​,Yes,1,සවන් රන් බඳුන්,Ears,Gold pots
මරණය අමරණීයයි,කරුණාරත්න අබේසේකර​,1982,ඔබගේ පියා ලොකු තැනකින් ඉවත ගියේ,No,0,,,
මරණය අමරණීයයි,කරුණාරත්න අබේසේකර​,1982,ජීවන විලේ ලස්සන මල් පිපෙන වියේ,Yes,1,ජීවන විලේ,Life,Lake
සමනල කන්දයි සිරිපා පියුමයි,කරුණාරත්න අබේසේකර​,1980,මුනි සිරිපා පියුම නිති රැකවරණීය​,Yes,1,සිරිපා පියුම,Buddha's footprint,Flower
සමනල කන්දයි සිරිපා පියුමයි,කරුණාරත්න අබේසේකර​,1980,සමනල ගිරි රදුනි අංජලිකරණීය​,No,0,,,
සමුගැනීම​,කරුණාරත්න අබේසේකර​,1967,කෙනෙකුගෙන් ගල් මුගුරු කෙනෙකුගෙ මල් පොකුරු ලත් හැටි නොකිව්වෙමි,No,0,,,
සමුගැනීම​,කරුණාරත්න අබේසේකර​,1967,නොස්ල්වී හුන් දෙතුන් දෙනෙකුට ගුවන් විමනෙහි දොර ඇරෙව්වෙමි,Yes,1,ගුවන් විමනෙහි,Sky,Paradise
සමුගැනීම​,කරුණාරත්න අබේසේකර​,1967,රටෙන් මා ලද අදර සෙනෙහස් තුති කුසුම් මිටි චමත්කාරය​,Yes,1,තුති කුසුම් මිටි,Thank you,Boquets of flowers
සමුගැනීම​,කරුණාරත්න අබේසේකර​,1967,සවන්දුන් ජනතාව වෙත මම පුදමි හද බැති නමස්කාරය​,No,0,,,
අඩක් හිස් කුසලානය​,කරුණාරත්න අබේසේකර​,1972,නව සිතුවිලි - කුමුදු මල් හද පොකුණු තුළ​,Yes,1,හද පොකුණු,Heart,Pond
අඩක් හිස් කුසලානය​,කරුණාරත්න අබේසේකර​,1972,පිබිදෙව් කෙවිලියන් වටකර වැටුණු දැල​,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,මිහිඳු නම් සිය පුතු,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,වයසට වැඩිය දැනමුතු,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,දී දහම් මිණි මුතු,Yes,1,දහම් මිණි මුතු,Dhamma,Gems and perls
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,එවු සේක සිරිලකට අප සතු,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,සුළු ඇත් පද උවම්,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,සුතුර දෙසු පසු මනරම්,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,බොදුවෙකු වී උතුම්,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,ගිලුණි මහ රජු ගගුලෙ සදහම්,Yes,1,ගගුලෙ සදහම්,Dhamma,River
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,මිගිඳු හිමියන් සෙට​,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,අපට අනුකම්පා කොට​,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,නොවැඩියෙ නම් එවිට​,No,0,,,
හෙළ දිව හෙළි වුණ දා,කරුණාරත්න අබේසේකර​,1982,අදත් වැදි පුරයකි අපේ රට​,Yes,1,වැදි පුරයකි අපේ රට​,Our country,A city of indigenious people
වඳින්න ගිය දෙවොල​,කරුණාරත්න අබේසේකර​,1982,වදමල් රතට පෙරළා නිල්මිණි දෙඇස​,Yes,1,නිල්මිණි දෙඇස​,Two eyes,Blue gems
වඳින්න ගිය දෙවොල​,කරුණාරත්න අබේසේකර​,1982,තොල් පෙති පියාගෙන හරවා වෙන​'ත හිස​,No,0,,,
සයනාසනයට වඩින්න​,කරුණාරත්න අබේසේකර​,1980,අමරඟනෙනි පිය මැන එන අඳුර උනන අවරගිරින්,No,0,,,
සයනාසනයට වඩින්න​,කරුණාරත්න අබේසේකර​,1980,ඇතුළු වන්න ආත්මයට මගේ නයන කවුළු දොරින්,Yes,1,නයන කවුළු දොරින්,Eyes,Window
සුවඳ සිහින පොදි,කරුණාරත්න අබේසේකර​,1979,දැණුනා සැඟවෙමින් සැතපුණු මහගු සෙනේ,No,0,,,
සුවඳ සිහින පොදි,කරුණාරත්න අබේසේකර​,1979,සත්සර ගොළු වුනා මා හද කණක වෙණේ,Yes,1,හද කණක වෙණේ,Heart,The harp
සුවඳ සිහින පොදි,කරුණාරත්න අබේසේකර​,1979,මගෙ හද තඹර සතු බඹරිඳු මිහිරිතම​,Yes,1,හද තඹර,Heart,Lotus
සුවඳ සිහින පොදි,කරුණාරත්න අබේසේකර​,1979,ඇත ඔබෙ සුවඳ පැල තුළ හැම අඟලකම​,No,0,,,
සුවඳ සිහින පොදි,කරුණාරත්න අබේසේකර​,1979,ඔබ යළි පැමිණි පසු බිමලා හුඟක් බර​,No,0,,,
සුවඳ සිහින පොදි,කරුණාරත්න අබේසේකර​,1979,මම මුළුමණින් හැර අඬවන් මනස් දොර​,Yes,1,මනස් දොර​,Mind,Door
වශී,කරුණාරත්න අබේසේකර​,1982,පසුගිය දිනෙක එළිපිට නොබියව දෙන්නා,No,0,,,
වශී,කරුණාරත්න අබේසේකර​,1982,පිළිසඳරෙක උනිමු මගෙ හද ගැබ පෙන්නා,Yes,1,හද ගැබ,Heart,Sky
වශී,කරුණාරත්න අබේසේකර​,1982,ඔබ ගෙන ගියත් මම ආවෙමි ඔබව හඹා,No,0,,,
වශී,කරුණාරත්න අබේසේකර​,1982,නැත හැකිළුණේ සනහස් සොමි කිරණ පබා,Yes,1,සනහස් සොමි කිරණ,Love,Moonlight
අපි ඉඳිමු පුතේ,කරුණාරත්න අබේසේකර​,1970,මා ඔබ හෙට ඔවුන් වෙනුවෙන් පිදුව වග​,No,0,,,
අපි ඉඳිමු පුතේ,කරුණාරත්න අබේසේකර​,1970,කිවමැන පුතේ අමතා එන සෙනඟ ග​ඟ,Yes,1,සෙනඟ ග​ඟ,Crowd,River
ප්‍රජාපතියගේ නැළවිලි ගීතය​,කරුණාරත්න අබේසේකර​,1983,නාමල් සුව බර සිනිඳු සුමුදු යස පුළුල් උකුල් සයනේ,Yes,1,උකුල් සයනේ,Lap,Bed
ප්‍රජාපතියගේ නැළවිලි ගීතය​,කරුණාරත්න අබේසේකර​,1983,ඈත හිමවු කුල හිමි වන්දන තුරු සිප එන මද පවනේ,No,0,,,
ප්‍රජාපතියගේ නැළවිලි ගීතය​,කරුණාරත්න අබේසේකර​,1983,බව ඝන තිමිරෙන් එළිය දකින්නත බිඳ බිය ජනක බැමී,Yes,1,බව ඝන තිමිරෙන්,Life,Thick layer of dust
ප්‍රජාපතියගේ නැළවිලි ගීතය​,කරුණාරත්න අබේසේකර​,1983,ඔබ යන ගමනෙදි නිරතුරු දිරි වෙර දීමත සපථ වෙමී,No,0,,,
ඔබේ හදවත තරම් ලස්සන තැනක්,කරුණාරත්න අබේසේකර​,1981,හිමවත සඳුන් වනයෙහි මුදු සිසිල පිඹ​,No,0,,,
ඔබේ හදවත තරම් ලස්සන තැනක්,කරුණාරත්න අබේසේකර​,1981,දුක් ගිනි නිවාලන පිනිදිය ගඟකි ඔබ​,Yes,1,ගඟකි ඔබ​,You,River
මදුරතම වින්දන​,කරුණාරත්න අබේසේකර​,1982,ඉඳු දද දහක් දිවි අඹරෙහි පහළවන​,Yes,1,දිවි අඹරෙහි,Life,Sky
මදුරතම වින්දන​,කරුණාරත්න අබේසේකර​,1982,මගෙ කල්පනා මල් පුබුදා සුවඳ දෙන​,Yes,1,කල්පනා මල්,Thoughts,Flowers
රූපවාහිනියේ,කරුණාරත්න අබේසේකර​,1982,බුදු දහමයි ජීව නාළිය හෙළ දූවේ,Yes,1,බුදු දහමයි ජීව නාළිය,Buddhism,Life
රූපවාහිනියේ,කරුණාරත්න අබේසේකර​,1982,එය ඔබෙ පිළිසරණ ලැබ පණ ගැහුනාවේ,No,0,,,
දොඩමළු ගිරවුනි,කරුණාරත්න අබේසේකර​,1979,ඔබ හද පුදසුනෙහි පෙම් මල් පිදුව අත​,Yes,1,හද පුදසුනෙහි,Heat,The altar
දොඩමළු ගිරවුනි,කරුණාරත්න අබේසේකර​,1979,ඔබෙ නෙත් කඳුළෙන්ම සෝදන ගතිය කැත​,No,0,,,
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,ගිලි ගිලී නැහැවී හද සෙනඟ ගගේ,Yes,1,සෙනඟ ගගේ,Crowd,River
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,ගත කළ එකම වහලක් යත තුරුණු යුගේ,No,0,,,
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,හද ගඟ ඉතිරී යන සහසක් රළ පතර​,Yes,1,හද ගඟ,Heart,River
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,සෙසු සොයුරන් දෙසත් නෙත් හරවන නිතර​,No,0,,,
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,මිදුලට එන විටදි ඔබගේ සුවඳ වැදී,No,0,,,
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,මගෙ හද මලට සිතිවිලි වන බඹරු විදී,Yes,1,හද මලට,Hear,Flower
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,මගෙ හද මලට සිතිවිලි වන බඹරු විදී,Yes,1,සිතිවිලි වන බඹරු,Thoughts,Wild wasp
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,මගෙ ජීවන අඹර තලයේ මෙයින් මතූ,Yes,1,ජීවන අඹර තලයේ,Life,Sky
තවත් නෑයෙක්,කරුණාරත්න අබේසේකර​,1983,ඉර හඳ වගේ ඔව දෙදෙනා සිටිය යුතූ,No,0,,,
මහලු නොවන් සොඳුරේ,කරුණාරත්න අබේසේකර​,1982,නෑ කැළ වස්තුව වංශය නොබලා,No,0,,,
මහලු නොවන් සොඳුරේ,කරුණාරත්න අබේසේකර​,1982,ආදර පුදසුන මත හද තබලා,Yes,1,ආදර පුදසුන,Love,The altar
සුබා,කරුණාරත්න අබේසේකර​,1980,හද නිම්නයේ නොමැකෙන සිහිවටන තබා,Yes,1,හද නිම්නයේ,Hear,Valley
සුබා,කරුණාරත්න අබේසේකර​,1980,අකලට පරවු මල මෙන් මළ නමුදු සුබා,No,0,,,
සුබා,කරුණාරත්න අබේසේකර​,1980,ඔබෙ පැහැදිළි නුවන් නිල්මිණි විහිදු පබා,Yes,1,නුවන් නිල්මිණි,Eyes,Blue gems
සුබා,කරුණාරත්න අබේසේකර​,1980,ඇත මගෙ මනස්කුටියේ එක් කොනක ඔබා,No,0,,,
යළිත් මධු සමයට​,කරුණාරත්න අබේසේකර​,1983,පෙර අත් බවවලත් සනහස් කිරුළ රැක​,Yes,1,සනහස් කිරුළ,Love,Crown
යළිත් මධු සමයට​,කරුණාරත්න අබේසේකර​,1983,අප පෙම්වතුන් වී ඉන්ටැ'ති නොමැත සැක​,No,0,,,
